Maternal ID,Pair ID,Thelier Stage,Day of Gestation,Slide ID,Process # ,ROI Label,Cyto Lining Decidual Vasculature?,>90% Cyto Coverage?,ZO-1 Collar?,"Has ""classic"" collar?",Vasculature+Collar Area,Vasculature Area,Collar Area,Mcherry Collar Intensity V+BA_Int,Mcherry Collar Intensity V+BA_Raw,Mcherry Collar Intensity VA_Int,Mcherry Collar Intensity VA_Raw,Mcherry Collar Intensity BA_Int,Mcherry Collar Intensity BA_Raw,GFP Collar Intensity V+BA_Int,GFP Collar Intensity V+BA_Raw,GFP Collar Intensity VA_Int,GFP Collar Intensity VA_Raw,GFP Collar Intensity BA_Int,GFP Collar Intensity BA_Int,Notes/Observations,
KG5H2,KCSUK5F,22,16.5,5.7D,2133,V2,1,1,1,1,205880.578,2950.291,202930.287,34007669.18,80688205,162112.589,384636,33845556.6,80303569,18618618.84,44175416,114547.155,271780,18504071.68,43903636,*oblong *borders decidua * classic band ,
KG5H2,KCSUK5F,22,16.5,5.7D,2133,V3,1,1,0,0,,2256.13,0,,,,,0,0,,,,,0,0,*probable edge piece *near large smear of cyto in middle of decidua ,
KG5H2,KCSUK5F,22,16.5,5.7D,2133,V4,0,0,1,0,4951.431,2347.589,2603.842,513445.885,1218226,92866.31,220339,420579.575,997887,23529.835,55828,6539.109,15515,16990.726,40313,*good example of cuboidal,
KG5H2,KCSUK5F,22,16.5,5.7D,2133,V5,0,0,0,0,,1615.074,0,,,,,0,0,,,,,0,0,*kind of cuboidal ,
KG4P1,KCSUKP,22,16.5,2.6E,2014,V1,1,0,0,0,,651.593,0,,,,,0,0,,,,,0,0,*Weird probable edge piece *small black space w/ large clumps of cyto near,
KG4P1,KCSUKP,22,16.5,2.6E,2014,V2,1,0,1,0,35557.328,6380.215,29177.113,5191450.461,12317481,228049.064,541080,4963401.397,11776401,1814860.966,4306025,69068.841,163876,1745792.125,4142149,*took measurement of inner band (confirmed w/ dapi),
KG4P1,KCSUKP,22,16.5,2.6E,2014,V3,0,0,1,0,11808.75,1643.734,10165.016,1948927.247,4624117,54088.528,128333,1894838.719,4495784,386920.97,918027,8730.754,20715,378190.216,897312,*Band confirmed w/ dapi,
KG4P1,KCSUKP,22,16.5,2.6E,2016,V1,0,0,0,0,,1811.9,0,,,,,0,0,,,,,0,0,*near top of decidua *kind of cuboidal but not as clear as others,
KG4P1,KCSUKP,22,16.5,2.6E,2016,V2,0,0,0,0,,3687.442,0,,,,,0,0,,,,,0,0,*near top of decidua *kind of cuboidal but not as clear as others,
KG4P1,KCSUKP,22,16.5,2.6E,2016,V3,0,0,0,0,,1452.386,0,,,,,0,0,,,,,0,0,*near top of decidua *kind of cuboidal but not as clear as others,
KG4P1,KCSUKP,22,16.5,2.6E,2016,V4,0,0,0,0,,4556.935,0,,,,,0,0,,,,,0,0,*near top of decidua *kind of cuboidal but not as clear as others,
